origin_id,destination_id,entry_cost,network_co,exit_cost,distance
33,67,0.0000000,24008.9945149,0.0000000,24008.9945149
33,68,0.0000000,16651.9035918,0.0000000,16651.9035918
33,69,0.0000000,17185.5915194,0.0000000,17185.5915194
33,77,,,,
33,82,,,,
33,83,,,,
33,84,,,,
33,85,,,,
33,86,,,,
33,87,,,,
33,88,,,,
33,89,,,,
33,90,,,,
35,0,,,,
35,17,,,,
35,18,,,,
35,20,,,,
35,21,,,,
35,23,,,,
35,24,,,,
35,25,,,,
35,29,,,,
35,30,,,,
35,31,,,,
35,32,,,,
35,33,,,,
35,35,,,,
35,36,0.0000000,8860.2311879,0.0000000,8860.2311879
35,38,0.0000000,7077.2366100,39.2041514,7116.4407614
35,39,0.0000000,7606.7816487,0.0000000,7606.7816487
35,40,0.0000000,10161.4542239,0.0000000,10161.4542239
35,48,0.0000000,50338.7975233,0.0000000,50338.7975233
35,52,0.0000000,65822.9683112,0.0000000,65822.9683112
35,53,0.0000000,65388.5560414,0.0000000,65388.5560414
35,54,0.0000000,58903.6818249,0.0000000,58903.6818249
35,57,0.0000000,53062.6102168,0.0000000,53062.6102168
35,58,0.0000000,51128.0918834,0.0000000,51128.0918834
35,60,0.0000000,39989.5109621,0.0000000,39989.5109621
35,61,0.0000000,35839.2024309,0.0000000,35839.2024309
35,62,0.0000000,37468.7359200,0.0000000,37468.7359200
35,63,0.0000000,32559.3126423,0.0000000,32559.3126423
35,64,0.0000000,27852.0540076,0.0000000,27852.0540076
35,66,0.0000000,29278.3867301,0.0000000,29278.3867301
35,67,0.0000000,24002.8589135,0.0000000,24002.8589135
35,68,0.0000000,16645.7679905,0.0000000,16645.7679905
35,69,0.0000000,17179.4559180,0.0000000,17179.4559180
35,77,,,,
35,82,,,,
35,83,,,,
35,84,,,,
35,85,,,,
35,86,,,,
35,87,,,,
35,88,,,,
35,89,,,,
35,90,,,,
36,0,,,,
36,17,,,,
36,18,,,,
36,20,,,,
36,21,,,,
36,23,,,,
36,24,,,,
36,25,,,,
36,29,,,,
36,30,,,,
36,31,,,,
36,32,,,,
36,33,,,,
36,35,,,,
36,36,,,,
36,38,0.0000000,1782.9945779,39.2041514,1822.1987292
36,39,0.0000000,3339.2101218,0.0000000,3339.2101218
36,40,0.0000000,5893.8826970,0.0000000,5893.8826970
36,48,0.0000000,46071.2259965,0.0000000,46071.2259965
36,52,0.0000000,61555.3967844,0.0000000,61555.3967844
36,53,0.0000000,61120.9845145,0.0000000,61120.9845145
36,54,0.0000000,54636.1102980,0.0000000,54636.1102980
36,57,0.0000000,48795.0386899,0.0000000,48795.0386899
36,58,0.0000000,46860.5203566,0.0000000,46860.5203566
36,60,0.0000000,35721.9394353,0.0000000,35721.9394353
